year,name,text,runnerup,runnerup_text,runnerup2,runnerup2_text,photo,photographer,caption
1986,Sushi Ran,"Long before sushi was available in just about every neighborhood, Yoshi Tome opened this Sausalito restaurant, and it remains one of the best in the Bay Area. Much of the recent boom in Japanese restaurants — especially ones with upscale omakase menus — can be traced back to him, including Kusakabe, Ju-ni and Village Sake in Fairfax.",China Moon,"Barbara Tropp fell in love with Chinese culture, which led to doctoral studies at Princeton and a definitive book: “The Modern Art of Chinese Cooking.” Her restaurant gave a fresh, authentic face to Chinese food with a Chez Panisse-like focus on sourcing, which was unheard of in other Asian restaurants. The restaurant closed in 1997; Tropp died in 2001.",,,http://ww3.hdnux.com/photos/51/51/60/10918958/5/,Brant Ward / The Chronicle,Sushi Ran in Sausalito
1987,Zuni Caf�,"While the restaurant opened in 1979 with Southwestern and Mexican food, it wasn't until Judy Rodgers' 1987 arrival that Zuni took a shift toward the Euro-centric menu it still has. Rodgers launched a national phenomenon by adding a wood-burning brick oven and producing a roast chicken that has shown up on menus from coast to coast. Today the restaurant thrives under Rebecca Boice, who worked with Rodgers from 2002 to 2012, returning to Zuni after Rodgers' death in 2013. This restaurant, which won the James Beard Award for Outstanding Restaurant in America, truly defines the San Francisco sensibility.",,,,,http://ww2.hdnux.com/photos/51/45/32/10901149/7/,Brant Ward / The Chronicle,Zuni Caf� in San Francisco (1984)
1988,L'Avenue,"Nancy Oakes began producing elevated comfort food in Pat O'Shea's, a dive bar in the Richmond where patrons also played darts, shot pool and watched sports. This unlikely venue — a pop-up before the concept was trendy — led to the opening of L'Avenue, where she took American food to a new level: grilled salmon with chive sauce, sauteed spinach, corn sticks, zucchini, pears and tomatoes; or veal chops with Italian-inspired salsa and new potatoes sprinkled with sage and Parmesan and served with French beans tossed with lemon olive oil and roasted peppers. Oakes closed the restaurant in 1993 when she opened Boulevard, which remains the pinnacle of inventive American cooking.",Oritalia/Bix,"Blending Italian and Asian influences in a small-plate format, Oritalia was a beacon for the upcoming fusion trend. And no other restaurant bridges eras as completely as Bix; the classic bar, live nightly entertainment and potato pillows with caviar are timeless.",,,http://ww2.hdnux.com/photos/51/51/61/10918993/5/,Michael Maloney / The Chronicle,L'Avenue in San Francisco
1989,Acquerello,"When fine dining still meant French, Suzette Gresham and Giancarlo Paterlini opened this white tablecloth Italian restaurant on Sacramento Street, giving an upscale twist to soulful dishes. As the dining scene became more casual and many high-end restaurants began to close, Acquerello kept getting better. It was also one of the first places to delve deeply into Italian wines.",Postrio,"The rivalry between North and South declared a truce when Wolfgang Puck opened this impressive see-and-be-seen restaurant on Post Street, where a ground-level stairway led down to the main dining room and the focal point was an original Robert Rauschenberg worth at least $1 million. While the cooking had a Northern California sensibility, the glitz boosted our lagging dining scene and was a harbinger of some grand restaurants to come.",,,http://ww3.hdnux.com/photos/51/50/65/10915166/5/,Liz Hafalia / The Chronicle,Acquerello in San Francisco
1990,O Chame,"The Loma Prieta earthquake in October 1989 shook up the dining scene and derailed much of the momentum that had been building. David Vardy was a trailblazer, using pristine California ingredients and kaiseki principles. He first opened a tea shop called Daruma, whose tea cakes were so good he exported them to Japan. This led to O Chame on Fourth Street in Berkeley. The restaurant closed in 2013 and is now home to Iyasare, where Shotaro Kamio offers his own innovative brand of Japanese food.",Flying Saucer,Albert Tordjman pioneered an area in the Mission (Guerrero and 22nd) and featured a wildly eclectic menu that borrowed from many cultures. He became one of the first high-profile chefs (he had previously worked at Auberge du Soleil in St. Helena) to offer white-tablecloth-caliber food in casual surroundings.,,,http://ww4.hdnux.com/photos/51/45/32/10901151/7/,Steve Ringman / The Chronicle,O Chame in Berkeley
1991,Slow Club,"Not only did this restaurant lay claim to an undiscovered area of San Francisco — the neighborhood between the Mission and Potrero Hill, at Mariposa and Hampshire streets — but it also was the first trendy restaurant to embrace an industrial decor. The postage-stamp-sized kitchen was carved out of one side of the room, and a bar lit up the back. The restaurant closed last year and is slated to reopen as a new restaurant, named the Morris.",Aqua,"This restaurant, which launched the career of Michael Mina, featured high ceilings, soft lighting, impressive six-foot tall flower arrangements and innovative seafood preparations. While elegant, Aqua was less formal and more fun that other four-star restaurants. Today it is Michael Mina, and it remains one of the most beautiful restaurants in the city. The tuna tartare with Asian flavors, pioneered by chef George Morrone, is still on the menu.",,,http://ww3.hdnux.com/photos/51/45/33/10901230/5/,Chris Stewart / The Chronicle,Slow Club in San Francisco
1992,Esperpento,"More than a decade before the Bay Area fell in love with Spanish food, Carlos Muela and his family opened this tapas bar in the Mission. While the food at other Spanish restaurants may surpass it today, the restaurant is still going strong. The family has another distinction: Son Carlos is the founder of SoMa StrEat Food Park and Spark Social, which have both become hubs for food trucks.",,,,,http://ww2.hdnux.com/photos/51/52/05/10920273/5/,Michael Maloney / The Chronicle,Esperpento in San Francisco
1993,Lulu,"Few restaurants have been the harbinger of so many trends as Lulu. Located on Folsom and Fourth streets in a sleekly designed warehouse, Lulu lured locals to what was then a desolate area. Chef-owner Reed Hearon was one of the first to feature a communal table (though it was always empty) and family-style dishes meant to share (many customers thought it was weird). The wood oven in the center of the dining room was another innovation, and cooks manning the fire wore headsets to communicate with the staff in the kitchen.",Alain Rondelli,"Before most people had heard of molecular gastronomy, Rondelli was placing shrimp and gnocchi under a frothy lime emulsion. He was a master at whimsical touches: serving calamari in a martini glass on clear tomato gelee with carrot juice poured tableside and giving diners cotton candy as they paid their check. He closed in 1998; the space is now Chapeau.",,,http://ww1.hdnux.com/photos/51/52/05/10920272/3/,Christina Koci Hernandez / The Chronicle,Lulu in San Francisco
1994,French Laundry,"The French Laundry represents the most significant chef takeover I've seen. The restaurant already had a solid reputation under prior owners Don and Sally Schmitt, but Thomas Keller almost single-handedly put Yountville on the culinary map. Once there, Keller created a magical destination on par with the finest country restaurants in France. In fact, the restaurant has repeatedly been named one of the best in the world. His whimsical approach to food — salmon tartare cones or “coffee and doughnuts” (semifreddo in a demitasse and doughnut holes) — has been copied worldwide.",Rubicon,"Drew Nieporent, now best known for Batard and Nobu, came from New York to open this impressive restaurant where Wayfare Tavern now resides. Few kitchens have turned out as many stars: Traci Des Jardins (Jardiniere), Chris Cosentino (Cockscomb), Robbie Lewis (The Commissary), Richard Reddington (Redd), Dennis Leary (Canteen), Jeremy Fox (Ubuntu and L.A.'s Rustic Canyon) and — the final chefs before it closed in 2008 — Stuart Brioza and Nicole Krasinski (State Bird Provisions). It was equally important in the wine world, with such heavyweights as Larry Stone, Rajat Parr and Alan Murray.",,,http://ww4.hdnux.com/photos/51/50/66/10915247/5/,Lance Iversen / The Chronicle,The French Laundry in Yountville 
1995,Slanted Door,"Charles Phan had more impact on Vietnamese food than any other chef in the country, which is why the Slanted Door was named Outstanding Restaurant in America by the James Beard Foundation in 2014. Phan and his family started the restaurant in the Mission in 1995 and eventually settled at the Ferry Building in 2004. The restaurant was also one of the first Asian restaurants to create a serious wine list and bar program using organic ingredients.",Betelnut/42 Degrees,"Betelnut gave integrity to the spiraling fusion trend. Designed to look like a 1930s Shanghai speakeasy, it swept the continent, with dishes from Japan, Thailand, Singapore, Vietnam, Taiwan, Indonesia and, most importantly, China. 42 Degrees became the model for sophisticated warehouse decor and late-night dining At most restaurants, prime-time dining was at 7 p.m.; here, that's when the doors opened.",,,http://ww1.hdnux.com/photos/51/52/05/10920292/3/,Russell Yip / The Chronicle,Slanted Door in San Francisco
